# ==============================================================================
# List	of	protein-ligand	known
# 17679	protein-ligand	complexes	sorted
# Latest	update:	Dec
# PDB code,	-logKd/Ki,	Kd/Ki,	name
# ==============================================================================
1b58	6.59	Kd=260nM	(3-mer)
1c2t	6.59	Ki=260nM	(NHS)
1c3e	6.59	Ki=260nM	(NHR)
1fiv	6.59	Ki=260nM	(5-mer)
1hk3	6.59	Kd=0.26uM	(T44)
1izi	6.59	Ki=0.26uM	(Q50)
1mq1	6.59	Kd=260nM	(12-mer)
1n7i	6.59	Ki=0.26uM	(LY1)
1qr3	6.59	IC50=0.26uM	(8-mer)
2byh	6.59	IC50=0.258uM	(2D7)
2e91	6.59	Ki=0.26uM	(ZOL)
2pvh	6.59	Ki=0.26uM	(P19)
2pwr	6.59	Ki=0.26uM	(G4G)
2v7d	6.59	Kd=260nM	(10-mer)
2xzq	6.59	Kd=0.26uM	(12-mer)
3gs6	6.59	Ki=0.26uM	(NP6)
3kah	6.59	IC50=0.26uM	(4DH)
3kdt	6.59	IC50=260nM	(7HA)
3opr	6.59	Ki=0.26uM	(SA2)
3t8v	6.59	Ki=260nM	(BTJ)
3tl0	6.59	Kd=0.26uM	(10-mer)
3uvn	6.59	Kd=0.26uM	(11-mer)
3wcl	6.59	IC50=0.26uM	(BH3)
4bnz	6.59	IC50=0.26uM	(8M5)
4dea	6.59	IC50=256nM	(NHI)
4j51	6.59	IC50=0.259uM	(N75)
4li0	6.59	Kd=0.26uM	(GDP)
4q3s	6.59	Kd=0.26uM	(X7A)
4qmq	6.59	IC50=0.26uM	(34U)
4qnb	6.59	Kd=0.26uM	(1B0)
4rn0	6.59	IC50=255nM	(L6G)
4xas	6.59	Ki=260nM	(40H)
5akh	6.59	IC50=0.256uM	(6NM)
5ddd	6.59	IC50=260nM	(59X)
5e0a	6.59	Kd=0.26uM	(NAG)
5ew0	6.59	Ki=0.26uM	(3C7)
5gjf	6.59	IC50=260nM	(6V4)
5jsm	6.59	IC50=260nM	(6NB)
5kbr	6.59	IC50=260nM	(IPW)
5l4i	6.59	Kd=0.26uM	(6J3)
5v3x	6.59	IC50=0.26uM	(I28)
5vja	6.59	Ki=0.260uM	(DUK)
6dq8	6.59	Kd=0.26uM	(H6S)
6dud	6.59	IC50=256nM	(HB4)
6ea1	6.59	Ki=257nM	(J0Y)
1ad8	6.60	Ki=0.25uM	(MDL)
1b38	6.60	Kd=0.254uM	(ATP)
1d8e	6.60	IC50=250nM	(6-mer)
1g7g	6.60	Ki=0.25uM	(INX)
1gwr	6.60	Kd=250nM	(12-mer)
1jzs	6.60	Ki=0.25uM	(MRC)
1kwr	6.60	IC50=0.25uM	(SG2)
1vot	6.60	Ki=250nM	(HUP)
1zpc	6.60	IC50=0.254uM	(716)
2a4z	6.60	IC50=0.250uM	(BYM)
2c5x	6.60	IC50=0.25uM	(MTW)
2c5y	6.60	IC50=0.25uM	(MTW)
2euk	6.60	Kd=0.25uM	(3-mer)
2f7p	6.60	Ki=0.249uM	(2SK)
2gg2	6.60	IC50=0.25uM	(U12)
2gg5	6.60	IC50=0.25uM	(U19)
2gtk	6.60	IC50=0.251uM	(208)
2j4g	6.60	Ki=0.25uM	(NB1)
2jdp	6.60	Kd=0.25uM	(MFU)
2wly	6.60	Ki=0.25uM	(2-mer)
2xhx	6.60	Kd=0.25uM	(T5M)
2y77	6.60	Ki=250nM	(CB8)
3cwk	6.60	Kd=250nM	(REA)
3dgl	6.60	Kd=250nM	(ATP)
3dln	6.60	Ki=249nM	(GLU)
3ejs	6.60	IC50=250nM	(HN5)
3eju	6.60	IC50=250nM	(HN7)
3eyl	6.60	IC50=250nM	(SMK)
3ip6	6.60	Kd=0.25uM	(PRO)
3jzp	6.60	IC50=250nM	(12-mer)
3lxe	6.60	Ki=250nM	(TOR)
3mpt	6.60	IC50=251nM	(1GK)
3tu1	6.60	Ki=0.25uM	(07G)
3v3q	6.60	Kd=0.25uM	(TMY)
4bib	6.60	IC50=0.25uM	(IEO)
4bie	6.60	IC50=0.25uM	(IE6)
4ci1	6.60	Kd=249.2nM	(EF2)
4dkq	6.60	Kd=0.25uM	(0LK)
4efu	6.60	IC50=0.25uM	(EFU)
4f08	6.60	Ki=250nM	(1RS)
4h75	6.60	Kd=0.25uM	(8-mer)
4mr5	6.60	Kd=251nM	(1K0)
4mr6	6.60	Kd=251nM	(1K0)
4muk	6.60	IC50=253nM	(2DV)
4oc1	6.60	Ki=254nM	(2QS)
4pnk	6.60	IC50=0.25uM	(KZQ)
4qk4	6.60	Kd=250nM	(PIK)
4qr4	6.60	IC50=0.25uM	(BNK)
4wpf	6.60	IC50=0.25uM	(3SN)
4x8o	6.60	Kd=250nM	(AP5)
4xii	6.60	Kd=0.25uM	(40V)
4ybi	6.60	IC50=249nM	(4B2)
4zzd	6.60	Kd=0.25uM	(RBF)
5alk	6.60	IC50=0.252uM	(WMR)
5f00	6.60	IC50=250nM	(5T8)
5i88	6.60	Kd=250nM	(69G)
5igq	6.60	Kd=0.25uM	(11-mer)
5j19	6.60	Kd=0.25uM	(15-mer)
5k48	6.60	Kd=0.251uM	(S5Z)
5l7e	6.60	Ki=0.25uM	(6Q0)
5lma	6.60	IC50=0.25uM	(6ZG)
5lqf	6.60	IC50=0.25uM	(4SP)
5mb1	6.60	Kd=0.253uM	(7KT)
5nw1	6.60	Kd=250nM	(9BH)
5wtt	6.60	Kd=0.25uM	(8-mer)
5z7j	6.60	Kd=0.25uM	(36J)
6bh5	6.60	Kd=0.25uM	(DNY)
6c2y	6.60	IC50=0.25uM	(EJS)
6ccq	6.60	IC50=0.25uM	(EX7)
6d5g	6.60	Kd=0.25uM	(FVD)
6eis	6.60	Ki=252nM	(B6N)
6g4m	6.60	IC50=0.25uM	(DQ5)
6hdo	6.60	IC50=0.25uM	(FZH)
3f7u	6.61	IC50=246nM	(AG4)
3kig	6.61	IC50=245nM	(DA4)
3mo2	6.61	Kd=244nM	(E67)
3qpo	6.61	IC50=247nM	(PFR)
3rjm	6.61	IC50=246nM	(6-mer)
4nnw	6.61	IC50=244nM	(2MK)
4qw3	6.61	IC50=0.243uM	(BO2)
5ai9	6.61	IC50=0.244uM	(K78)
6cmr	6.61	IC50=0.246uM	(5OD)
6gfy	6.61	Kd=244nM	(EXH)
1afk	6.62	Ki=240nM	(PAP)
1ii5	6.62	Kd=240nM	(GLU)
1jd5	6.62	Kd=0.24uM	(10-mer)
1kkq	6.62	IC50=0.24uM	(471)
1s3k	6.62	Kd=0.24uM	(4-mer)
1soj	6.62	IC50=242nM	(IBM)
1tkz	6.62	IC50=0.24uM	(H16)
1xnz	6.62	IC50=0.24uM	(FCD)
2cnf	6.62	IC50=240nM	(F32)
2ews	6.62	Kd=0.24uM	(ANP)
2j7b	6.62	Kd=240nM	(NTZ)
2jgs	6.62	Kd=0.24uM	(BTN)
2vwc	6.62	Kd=0.24uM	(BC2)
2vww	6.62	IC50=0.24uM	(7X2)
2w0j	6.62	IC50=240nM	(ZAT)
2zb0	6.62	Ki=0.24uM	(GK3)
2zq1	6.62	Kd=239nM	(11U)
3aav	6.62	Ki=0.24uM	(A2C)
3iu9	6.62	IC50=0.24uM	(T07)
3ka2	6.62	Kd=0.24uM	(2NC)
3ljo	6.62	Kd=239nM	(11U)
3m93	6.62	Kd=0.24uM	(M7G)
3opm	6.62	IC50=0.24uM	(LUI)
3ozp	6.62	Ki=0.24uM	(OAN)
3umx	6.62	IC50=0.24uM	(Q18)
4btk	6.62	Kd=0.24uM	(DTQ)
4er1	6.62	Ki=0.242uM	(0ZP)
4gfo	6.62	Ki=0.24uM	(0X2)
4ixv	6.62	IC50=240nM	(XA1)
4mpn	6.62	Kd=239nM	(PV0)
4rd0	6.62	Kd=0.24uM	(GDP)
4txc	6.62	Kd=0.24uM	(38G)
4unq	6.62	IC50=0.24uM	(H6D)
4x8n	6.62	Kd=0.24uM	(10-mer)
4y94	6.62	Kd=238nM	(IHP)
4znx	6.62	Kd=0.24uM	(12-mer)
5ejl	6.62	Kd=0.24uM	(C2E)
5l6h	6.62	IC50=0.24uM	(6O2)
5m55	6.62	IC50=0.24uM	(7GG)
5mw3	6.62	IC50=240nM	(5JT)
5o9h	6.62	IC50=241nM	(9P2)
5op2	6.62	Ki=0.240uM	(A0Q)
5q0j	6.62	IC50=0.239uM	(9KV)
5syn	6.62	Kd=240nM	(71T)
5t1l	6.62	Kd=0.24uM	(12-mer)
5t37	6.62	IC50=0.241uM	(758)
5ugd	6.62	IC50=0.24uM	(89S)
5unj	6.62	Kd=0.24uM	(14-mer)
5v42	6.62	IC50=0.24uM	(I66)
5w10	6.62	Kd=0.24uM	(CMP)
5wjj	6.62	IC50=240nM	(AQY)
5yjp	6.62	IC50=0.24uM	(8W6)
6eqv	6.62	Ki=238nM	(5-mer)
6g38	6.62	Kd=239.2nM	(TBN)
8lpr	6.62	Ki=240nM	(5-mer)
2exc	6.63	IC50=235nM	(JNK)
2qlq	6.63	IC50=236nM	(SR2)
2x7t	6.63	Ki=232nM	(WZB)
2yfe	6.63	Ki=0.236uM	(YFE)
3arb	6.63	Kd=234nM	(FEE)
3f8f	6.63	Kd=236nM	(DM1)
3os3	6.63	IC50=235nM	(3OS)
3wf8	6.63	IC50=232nM	(F76)
4eyr	6.63	IC50=237nM	(RIT)
4jg1	6.63	Kd=232nM	(12-mer)
4k77	6.63	Ki=235nM	(1Q4)
4l0v	6.63	IC50=233nM	(1V1)
4lyw	6.63	Kd=237nM	(21Q)
4nw7	6.63	IC50=237nM	(2O5)
4pv7	6.63	IC50=232.8nM	(CJP)
4rsc	6.63	IC50=232nM	(A3V)
4xip	6.63	Ki=235nM	(40W)
4xrq	6.63	Kd=0.232uM	(1B0)
5jt9	6.63	Kd=0.233uM	(7AF)
5u2c	6.63	IC50=235nM	(82Y)
6b97	6.63	Ki=0.237uM	(CZY)
6djc	6.63	Ki=232.8nM	(CF6)
6elp	6.63	Kd=236nM	(BA8)
1lcp	6.64	Ki=0.23uM	(PLU)
1sln	6.64	Ki=0.23uM	(INH)
1tmm	6.64	Kd=0.23uM	(APC)
2b1g	6.64	Ki=0.23uM	(13A)
2d3z	6.64	Ki=0.23uM	(FIH)
2gej	6.64	Kd=0.23uM	(GDD)
2h96	6.64	IC50=0.23uM	(893)
2jdo	6.64	IC50=0.23uM	(I5S)
2kpl	6.64	Kd=0.23uM	(11-mer)
2oi3	6.64	Kd=0.23uM	(14-mer)
2srt	6.64	Ki=0.23uM	(INH)
2wap	6.64	Ki=0.23uM	(PIX)
2wbd	6.64	IC50=0.23uM	(RO5)
2wi6	6.64	IC50=0.23uM	(ZZ6)
2za0	6.64	Ki=0.23uM	(MGI)
3b26	6.64	Kd=0.23uM	(B2L)
3cf1	6.64	Kd=230nM	(ADP)
3eoc	6.64	IC50=0.23uM	(T2A)
3fee	6.64	Ki=230nM	(QUS)
3g76	6.64	IC50=230.8nM	(CZ3)
3zy5	6.64	Kd=0.23uM	(GFB)
4cc6	6.64	IC50=0.23uM	(L5Y)
4e8z	6.64	IC50=0.23uM	(IHC)
4io8	6.64	Kd=228nM	(3FD)
4jit	6.64	Ki=0.23uM	(3ZF)
4rxe	6.64	IC50=230nM	(3YQ)
5abp	6.64	Kd=0.23uM	(GLA/GLB)
5i2e	6.64	Kd=0.23uM	(67D)
5jap	6.64	IC50=0.23uM	(6HZ)
5jat	6.64	IC50=0.23uM	(6HR)
5ko1	6.64	Kd=230nM	(6UY)
5l3j	6.64	Kd=0.23uM	(6G9)
5lcj	6.64	IC50=0.23uM	(6TS)
5nk8	6.64	Kd=229nM	(90Z)
5nu3	6.64	Kd=0.23uM	(99E)
5ul1	6.64	Kd=0.23uM	(8DY)
5y8w	6.64	IC50=0.23uM	(8PU)
6czv	6.64	IC50=0.23uM	(FOY)
6dxx	6.64	IC50=230nM	(WTF)
2j75	6.65	Kd=225nM	(NOY)
2pre	6.65	IC50=225nM	(E64)
3eio	6.65	IC50=223nM	(AJH)
3mzc	6.65	Ki=226nM	(S6I)
3zpr	6.65	Ki=224nM	(3WC)
4hww	6.65	IC50=223nM	(X7A)
4yha	6.65	Ki=225nM	(MZM)
6cwn	6.65	Kd=226nM	(6LA)
6guf	6.65	Kd=224nM	(23D)
1a4r	6.66	Kd=0.22uM	(GNH)
1cps	6.66	Ki=0.22uM	(CPM)
1elc	6.66	Ki=0.22uM	(0Z3)
1h3h	6.66	Kd=220nM	(11-mer)
1o3p	6.66	Ki=0.22uM	(655)
1pxp	6.66	Ki=0.22uM	(CK8)
1wur	6.66	Ki=0.22uM	(8DG)
2c5n	6.66	IC50=0.22uM	(CK8)
2c8x	6.66	IC50=220nM	(C5M)
2j7w	6.66	IC50=0.22uM	(GTP)
2v5x	6.66	Kd=220nM	(V5X)
2vx1	6.66	IC50=0.220uM	(7X8)
2xj7	6.66	Ki=220nM	(GC2)
2y5k	6.66	IC50=0.22uM	(YCU)
2yz3	6.66	Ki=220nM	(M5P)
2zm1	6.66	IC50=220nM	(KSF)
3iej	6.66	IC50=0.22uM	(599)
3lnj	6.66	Kd=219nM	(12-mer)
3lp2	6.66	IC50=0.22uM	(LP9)
3ow6	6.66	IC50=0.22uM	(MEX)
3pwd	6.66	Ki=0.22uM	(CZ0)
3shv	6.66	Kd=0.22uM	(10-mer)
3uat	6.66	Kd=0.22uM	(18-mer)
3zj6	6.66	Ki=0.22uM	(VM2)
4bjb	6.66	IC50=219nM	(P34)
4e96	6.66	IC50=0.22uM	(0NS)
4izm	6.66	Kd=220nM	(ASP)
4j08	6.66	IC50=0.22uM	(1JH)
4jr3	6.66	IC50=218nM	(KJR)
4jv6	6.66	Kd=217nM	(18F)
4ps1	6.66	Ki=220nM	(5-mer)
4v27	6.66	Kd=217nM	(2-mer)
4y24	6.66	Kd=0.22uM	(TD2)
4yqu	6.66	IC50=0.221uM	(4GB)
4z2g	6.66	IC50=0.217uM	(M6V)
4z7h	6.66	IC50=218nM	(4L5)
4zjw	6.66	IC50=0.22uM	(4P1)
5cls	6.66	IC50=0.22uM	(52T)
5cy9	6.66	Kd=0.218uM	(E0A)
5g6u	6.66	IC50=0.22uM	(YJM)
5m6f	6.66	IC50=220nM	(7HU)
5mja	6.66	IC50=220nM	(7O3)
5mz3	6.66	IC50=0.22uM	(8EN)
5n9t	6.66	IC50=220nM	(8QQ)
5nxi	6.66	Ki=217.4nM	(9DE)
5wyx	6.66	Kd=0.22uM	(CU8)
5wzt	6.66	IC50=0.22uM	(7W6)
6aps	6.66	Ki=0.22uM	(SV2)
6bfw	6.66	IC50=0.22uM	(DK7)
6bh0	6.66	Kd=0.22uM	(DO1)
6biy	6.66	IC50=0.22uM	(13-mer)
6c5q	6.66	IC50=220nM	(EKS)
6dar	6.66	Ki=0.219uM	(G2J)
6fa2	6.66	Kd=0.220uM	(D2W)
6g6y	6.66	Kd=220nM	(EOK)
6g6z	6.66	Kd=220nM	(EOK)
6giu	6.66	IC50=0.22uM	(L69)
6htt	6.66	IC50=220nM	(GQZ)
2etm	6.67	IC50=0.212uM	(7PY)
3ew2	6.67	Kd=215nM	(BTN)
3g19	6.67	Kd=214nM	(3-mer)
4yl1	6.67	IC50=0.216uM	(4U8)
5aad	6.67	IC50=0.212uM	(5GX)
5cav	6.67	Ki=216nM	(4ZQ)
5fho	6.67	Ki=0.213uM	(5XN)
5o11	6.67	IC50=0.216uM	(3NG)
5op5	6.67	Ki=0.216uM	(3FE)
6b1k	6.67	Kd=0.213uM	(C9G)
6bbx	6.67	Kd=215nM	(D77)
6ee6	6.67	Ki=216nM	(J4P)
1bdr	6.68	Ki=0.21uM	(IM1)
1c5x	6.68	Ki=0.21uM	(ESI)
1mai	6.68	Kd=210nM	(I3P)
1oiu	6.68	IC50=0.21uM	(N76)
1zeo	6.68	IC50=0.21uM	(C01)
2cm7	6.68	IC50=210nM	(IZD)
2fqw	6.68	Kd=210nM	(NOS)
2iwx	6.68	Kd=0.21uM	(M1S)
2of2	6.68	IC50=0.21uM	(547)
2ony	6.68	Ki=210nM	(TMJ)
2qbs	6.68	Ki=0.21uM	(024)
2qp6	6.68	Ki=208nM	(MB1)
2rcu	6.68	IC50=210nM	(BUJ)
2wf0	6.68	IC50=0.21uM	(ZY0)
2wtd	6.68	IC50=0.21uM	(ZZK)
3dab	6.68	Kd=0.21uM	(15-mer)
3ddq	6.68	IC50=0.21uM	(RRC)
3fhr	6.68	IC50=210nM	(P4O)
3ie3	6.68	Kd=0.21uM	(N11)
3lpf	6.68	Ki=208nM	(Z77)
3o75	6.68	Kd=209nM	(F1X)
3qa2	6.68	IC50=210nM	(XNA)
3su1	6.68	Ki=208nM	(TSV)
3ttj	6.68	IC50=0.21uM	(JBI)
3ws8	6.68	IC50=210nM	(X4C)
3zhx	6.68	Kd=0.21uM	(FM6)
4acm	6.68	Ki=210nM	(7YG)
4ca8	6.68	Ki=210nM	(3ES)
4ew2	6.68	Ki=0.21uM	(DXY)
4h39	6.68	IC50=0.21uM	(10-mer)
4h4e	6.68	IC50=0.21uM	(10G)
4l2g	6.68	IC50=210nM	(1V4)
4q6r	6.68	IC50=0.21uM	(30J)
4qmz	6.68	IC50=0.21uM	(B49)
4rrs	6.68	IC50=210nM	(3UY)
4ttv	6.68	IC50=209nM	(BC9)
4wpn	6.68	IC50=210nM	(3ST)
5h0e	6.68	IC50=210nM	(OOS)
5h6v	6.68	IC50=208nM	(7HS)
5l2w	6.68	Kd=210nM	(1QK)
5n8v	6.68	Ki=0.207uM	(KZZ)
5o4f	6.68	Ki=208nM	(8VE)
5t90	6.68	IC50=0.21uM	(18-mer)
5wzv	6.68	IC50=0.21uM	(7W0)
5y0f	6.68	Ki=0.21uM	(8JO)
5y5t	6.68	IC50=211nM	(8OR)
6ayi	6.68	Kd=0.21uM	(C3G)
6bgw	6.68	Kd=0.21uM	(DKS)
2jew	6.69	Ki=206nM	(720)
2xn5	6.69	Kd=205nM	(FUN)
3wf7	6.69	IC50=206nM	(FS9)
4b4m	6.69	IC50=0.205uM	(JWT)
4d8i	6.69	IC50=205nM	(5-mer)
4mm6	6.69	Ki=205nM	(29E)
5a6x	6.69	Kd=202nM	(MFU)
5alf	6.69	IC50=0.204uM	(OE1)
5ejv	6.69	IC50=0.204uM	(444)
5fs5	6.69	Kd=206.4nM	(KGM)
5ho6	6.69	IC50=204nM	(63K)
5m0s	6.69	IC50=0.202uM	(7CW)
5yhe	6.69	Kd=203.3nM	(8UX)
6ee4	6.69	Ki=202nM	(J4S)
1a09	6.70	Kd=0.2uM	(4-mer)
1a50	6.70	Kd=0.2uM	(FIP)
1b0h	6.70	Kd=0.20uM	(3-mer)
1b3g	6.70	Kd=200nM	(3-mer)
1dfo	6.70	Ki=0.2uM	(FFO)
1eld	6.70	Ki=0.20uM	(0Z0)
1f3e	6.70	Ki=0.2uM	(DPZ)
1fo3	6.70	IC50=0.2uM	(KIF)
1gca	6.70	Kd=0.2uM	(GAL)
1hp0	6.70	Ki=0.2uM	(AD3)
1i7i	6.70	IC50=0.2uM	(AZ2)
1jq3	6.70	IC50=0.2uM	(AAT)
1ke3	6.70	Ki=0.20uM	(BDB)
1kf6	6.70	Ki=0.2uM	(HQO)
1koj	6.70	Ki=0.2uM	(PAN)
1lfo	6.70	Kd~0.2uM	(OLA)
1mwn	6.70	Kd=200nM	(12-mer)
1nki	6.70	Kd=0.2uM	(PPF)
1nms	6.70	Ki=0.2uM	(161)
1p10	6.70	Ki=200nM	(5-mer)
1rdt	6.70	Ki=200nM	(L79)
1rek	6.70	Ki=200nM	(B8L)
1unl	6.70	IC50=0.20uM	(RRC)
1xdd	6.70	IC50=0.2uM	(AAY)
1xr8	6.70	Kd=200nM	(9-mer)
1z6q	6.70	IC50=0.2uM	(195)
2a5s	6.70	Ki=0.2uM	(GLU)
2emt	6.70	Kd=201nM	(18-mer)
2eum	6.70	Kd=0.2uM	(3-mer)
2evl	6.70	Kd=0.2uM	(3-mer)
2fwy	6.70	IC50=200nM	(H64)
2is0	6.70	IC50=200nM	(I03)
2j2i	6.70	IC50=200nM	(LY4)
2kup	6.70	Kd=0.2uM	(19-mer)
2lcs	6.70	Kd=0.2uM	(16-mer)
2lkk	6.70	Kd=0.2uM	(OLA)
2ow0	6.70	IC50=201nM	(6MR)
2oxx	6.70	Ki=0.20uM	(K22)
2py4	6.70	Kd=0.2uM	(DUP)
2va7	6.70	IC50=0.20uM	(C27)
2x7d	6.70	IC50=200nM	(EGB)
2xx5	6.70	IC50=0.20uM	(13N)
3c7n	6.70	Kd=0.2uM	(ADP)
3eko	6.70	Ki=0.2uM	(PYU)
3hzk	6.70	Kd=0.2uM	(KDA&KDO)
3ipb	6.70	IC50=0.2uM	(JZD)
3k3b	6.70	IC50=0.2uM	(L31)
3mb7	6.70	IC50=200nM	(14I)
3mhi	6.70	Kd=0.2uM	(J90)
3oyl	6.70	IC50=200nM	(ZZX)
3pck	6.70	Kd=0.2uM	(NNO)
3pgu	6.70	Kd=0.2uM	(OLA)
3rk7	6.70	IC50=0.2uM	(08Z)
3sff	6.70	IC50=200nM	(0DI)
3t60	6.70	Ki=0.2uM	(DUA)
3t64	6.70	Ki=0.2uM	(DU3)
3upf	6.70	IC50=200nM	(0BU)
3zs0	6.70	IC50=0.2uM	(ZS0)
4apr	6.70	Ki=200nM	(8-mer)
4azy	6.70	IC50=198nM	(7F3)
4bo0	6.70	IC50=0.20uM	(FXE)
4ewn	6.70	Kd=0.2uM	(0VR)
4f09	6.70	Ki=200nM	(JAK)
4fns	6.70	Ki=0.2uM	(DGJ)
4hy0	6.70	IC50=200nM	(1AQ)
4io2	6.70	Kd=0.2uM	(GLU)
4jjs	6.70	IC50=0.2uM	(1M9)
4jyc	6.70	Kd=0.20uM	(GDP)
4jz1	6.70	Ki=0.2uM	(F4D)
4k4f	6.70	IC50=0.20uM	(K4F)
4lh5	6.70	IC50=0.20uM	(LF0)
4lkj	6.70	Kd=0.20uM	(3-mer)
4m13	6.70	Kd=0.2uM	(1E0)
4m14	6.70	Kd=0.2uM	(QWS)
4m7b	6.70	IC50=0.2uM	(28C)
4mex	6.70	IC50=0.2uM	(9-mer)
4mue	6.70	Kd=200nM	(2DH)
4mw2	6.70	IC50=198nM	(2E9)
4o1l	6.70	IC50=0.20uM	(HO4)
4o2p	6.70	Ki=0.20uM	(11V)
4os2	6.70	Ki=0.20uM	(14-mer)
4pyv	6.70	IC50=200nM	(2XF)
4qhc	6.70	Ki=0.2uM	(33V)
4qta	6.70	Kd~200nM	(38Z)
4qtb	6.70	Kd~200nM	(38Z)
4tzm	6.70	Kd=0.2uM	(16-mer)
4u5t	6.70	IC50=0.2uM	(3CG)
4uit	6.70	IC50=0.2uM	(N1D)
4uns	6.70	IC50=0.2uM	(QZ3)
5ar4	6.70	IC50=200nM	(SB2)
5d75	6.70	Ki=200nM	(FK5)
5dhj	6.70	Ki=0.2uM	(5E5)
5f2s	6.70	IC50=0.2uM	(5TZ)
5g17	6.70	Kd=0.2uM	(6DK)
5g5v	6.70	Ki=199nM	(8Z4)
5i5x	6.70	IC50=0.2uM	(68C)
5kcx	6.70	IC50=0.2uM	(6S3)
5l6j	6.70	IC50=0.2uM	(61T)
5lc0	6.70	IC50=0.20uM	(6T8)
5mmn	6.70	IC50<0.2uM	(O54)
5nvv	6.70	Kd=200nM	(9BT)
5tgc	6.70	Kd=200nM	(ATP)
5v1d	6.70	Kd~0.2uM	(12-mer)
5v84	6.70	IC50=0.20uM	(96V)
5wys	6.70	IC50=0.2uM	(7V6)
5y0g	6.70	Ki=0.20uM	(8JL)
5yzd	6.70	IC50=0.2uM	(4-mer)
6c8p	6.70	IC50=0.2uM	(EQA)
6ciy	6.70	IC50=0.201uM	(F3J)
6d28	6.70	Kd=200nM	(NEC)
6e4w	6.70	Kd=197.8nM	(HUG)
6ebe	6.70	Ki=0.20uM	(J3V)
6eda	6.70	Ki=0.20uM	(J3V)
6f2n	6.70	IC50=0.2uM	(CF8)
6ftn	6.70	IC50=199.5nM	(E78)
6fyi	6.70	IC50=200nM	(EAE)
6g5j	6.70	IC50=0.2uM	(EM8)
6nao	6.70	Kd=0.2uM	(8ZP)
1w82	6.71	IC50=196nM	(L10)
2f94	6.71	Ki=195nM	(BFQ)
4cd5	6.71	Ki=194nM	(2-mer)
4jrg	6.71	IC50=196nM	(I09)
4og6	6.71	IC50=197nM	(2S9)
4pvy	6.71	Kd=197nM	(JD1)
5kls	6.71	IC50=194nM	(6UC)
5odx	6.71	Kd=195nM	(9RZ)
5op4	6.71	Ki=0.194uM	(A0T)
5tt3	6.71	Ki=193nM	(EZL)
5u2f	6.71	IC50=193nM	(82Y)
5z89	6.71	Kd=195nM	(EGC)
6bvb	6.71	Kd=196nM	(19-mer)
6ee2	6.71	Ki=195nM	(J1V)
6ghh	6.71	Kd=0.193uM	(TDA)
6gi6	6.71	IC50=0.194uM	(EZB)
1n4m	6.72	Kd=0.19uM	(18-mer)
1ov3	6.72	Kd=0.19uM	(18-mer)
1rbp	6.72	Kd=0.19uM	(RTL)
2f3f	6.72	IC50=0.19uM	(AXF)
2jdu	6.72	Kd=0.19uM	(MFU)
2pjl	6.72	IC50=190nM	(047)
2rt5	6.72	Kd=0.19uM	(8-mer)
2vpn	6.72	Kd=0.19uM	(4CS)
2w3o	6.72	Kd=0.19uM	(8-mer)
2x8i	6.72	IC50=0.19uM	(X8I)
2xc0	6.72	Ki=192nM	(8NC)
2xne	6.72	IC50=0.190uM	(ASH)
2zz6	6.72	Ki=0.19uM	(6AZ)
3aqt	6.72	Kd=0.19uM	(RCO)
3bm9	6.72	IC50=0.19uM	(BXZ)
3bxz	6.72	Kd=0.19uM	(ADP)
3diw	6.72	Kd=0.19uM	(10-mer)
3fun	6.72	IC50=0.189uM	(798)
3g7l	6.72	Kd=0.19uM	(16-mer)
3gst	6.72	Ki=0.19uM	(GPR)
3kyr	6.72	IC50=0.19uM	(038)
3l4v	6.72	Ki=0.19uM	(KTL)
3l4z	6.72	Ki=0.19uM	(SSD)
4bb4	6.72	IC50=190nM	(32W)
4djv	6.72	Ki=0.19uM	(0KM)
4dv9	6.72	IC50=189nM	(8-mer)
4dvi	6.72	IC50=0.192uM	(2IW)
4flp	6.72	Kd=190.1nM	(JQ1)
4h58	6.72	IC50=0.192uM	(10Z)
4i73	6.72	Ki=190nM	(MBY)
4i74	6.72	Ki=190nM	(MBY)
4lwc	6.72	Kd=0.19uM	(1XU)
4o0a	6.72	Kd=0.19uM	(2P9)
4q4e	6.72	IC50=0.19uM	(BB2)
4raq	6.72	Ki=0.19uM	(3L8)
4uia	6.72	IC50=0.19uM	(FH9)
4xv9	6.72	IC50=0.19uM	(1OO)
5e1m	6.72	Kd=189nM	(6-mer)
5fwg	6.72	Kd=0.19uM	(GPR)
5izk	6.72	Kd=0.19uM	(GDP)
5j1w	6.72	IC50=0.19uM	(6FB)
5ng9	6.72	Ki=191nM	(8VN)
5o58	6.72	Kd=191nM	(2-mer)
5tqe	6.72	Ki=190nM	(7KQ)
5ulg	6.72	IC50=189nM	(8E4)
5v3y	6.72	IC50=0.19uM	(5V8)
5vb7	6.72	Ki=0.19uM	(921)
5ya5	6.72	Kd=0.19uM	(6TD)
6dge	6.72	Ki=0.19uM	(GBG)
6etj	6.72	IC50=0.19uM	(BWW)
6fo5	6.72	Kd=0.19uM	(DZH)
6ht8	6.72	IC50=190nM	(GQE)
6hu1	6.72	IC50=191nM	(GT2)
1jld	6.73	IC50=185nM	(0PP)
1o6h	6.73	IC50=186nM	(W37)
1wvj	6.73	Ki=185nM	(IBC)
1x7q	6.73	IC50=186nM	(9-mer)
2cma	6.73	IC50=185nM	(F20)
2q8s	6.73	IC50=0.185uM	(L92)
4a51	6.73	Ki=185.8nM	(DQ8)
